name,danceability,loudness,speechiness,acousticness,liveness
Come On Eileen,0.466,-9.102,0.0492,0.413,0.343
Come Out And Play (Keep ‘Em Separated),0.476,-3.764,0.161,0.0535,0.0846
Coming Home,0.198,-18.72,0.031,0.854,0.0773
Coming Undone,0.696,-4.178,0.0554,0.000855,0.0646
Consequences,0.455,-6.792,0.0563,0.889,0.106
Conversation,0.242,-16.332,0.0322,0.901,0.167
Count On You - ATFC's C-thru Remix,0.825,-7.502,0.0463,0.00735,0.057
Count That - R3HAB Edit,0.686,-3.665,0.113,0.0957,0.0809
Courage,0.635,-26.234,0.0401,0.994,0.107
Crash,0.689,-12.307,0.0339,0.000455,0.07
Crawling In The Dark,0.592,-4.491,0.0885,0.000295,0.138
Crazy,0.855,-4.589,0.0336,0.0505,0.105
Crazy Horses,0.512,-4.505,0.0671,0.215,0.343
Creep,0.515,-9.935,0.0369,0.0102,0.129
Crossing,0.542,-16.57,0.0398,0.935,0.0932
Crystal Baller - 2006 Remaster,0.379,-5.922,0.0705,0.0142,0.196
Crystal Shores,0.482,-26.303,0.0323,0.958,0.104
Curiosity,0.43,-22.088,0.0641,0.985,0.106
Curious Morning,0.391,-17,0.0363,0.969,0.116
Cursive,0.494,-11.54,0.0308,0.935,0.128
Daar Gaat Ze,0.639,-8.497,0.0288,0.78,0.117
Dance Little Sister,0.722,-11.095,0.0901,0.161,0.0755
Dancing On My Own,0.608,-8.796,0.0332,0.851,0.0855
Dancing Through Sunday,0.555,-2.849,0.0947,0.00291,0.279
Dancing With Your Ghost,0.629,-8.285,0.029,0.761,0.103
Dancing With an Astronaut,0.516,-7.841,0.0283,0.487,0.252
Dani California,0.556,-2.36,0.0437,0.0193,0.346
Dark Side of the Gym,0.642,-11.404,0.0294,0.726,0.12
Darkest Hour,0.694,-16.105,0.0408,0.612,0.137
Dawning,0.526,-11.965,0.0424,0.64,0.096
Day 5: For Carol,0.485,-10.022,0.0308,0.765,0.132
De Fléche,0.435,-15.885,0.0308,0.668,0.084
Dear Diary,0.474,-9.373,0.0644,0.587,0.114
Deep Dark Jungle,0.587,-4.512,0.216,0.000405,0.202
Den inre skogen,0.532,-17.683,0.0543,0.924,0.134
Desire Lines,0.379,-5.406,0.0325,0.000169,0.077
Devotion And Desire,0.296,-4.918,0.0922,0.000702,0.339
Dew Drops,0.27,-24.513,0.0361,0.939,0.1
Dive,0.434,-10.05,0.0305,0.0418,0.0941
Do Bad Well (feat. Nevve),0.604,-4.755,0.113,0.0512,0.234
Do It Again,0.701,-3.026,0.0675,0.119,0.221
Dolerme,0.545,-7.035,0.0559,0.785,0.123
Don't Stop,0.686,-11.433,0.0353,0.0398,0.0686
Don't Stop Me Now - 2011 Mix,0.563,-5.277,0.16,0.0472,0.77
Don't You (Forget About Me) - Remastered,0.602,-7.976,0.0313,0.00398,0.0931
Don’t Delete The Kisses,0.604,-6.259,0.0273,0.0011,0.368
Down On The Corner,0.831,-9.288,0.0837,0.594,0.0736
Dragula,0.591,-6.489,0.0531,8.74E-05,0.0781
Dreams Tonite,0.511,-5.727,0.0242,0.0108,0.127
Drifting,0.616,-14.144,0.0383,0.71,0.0871
Driver's Seat,0.754,-7.189,0.0368,0.0186,0.207
Duality,0.354,-3.026,0.168,0.000237,0.204
Duck And Run,0.524,-5.505,0.0436,0.0149,0.131
Dust On The Ground,0.605,-10.892,0.0306,0.757,0.116
EDM Sux,0.653,-5.877,0.11,0.00775,0.342
Eagle,0.339,-21.613,0.0416,0.937,0.0847
Easily,0.772,-8.545,0.0481,0.491,0.144
Easy Lover,0.749,-13.108,0.0371,0.0674,0.0763
Eden - Hunted Version,0.158,-18.225,0.0398,0.965,0.0752
Edge of Seventeen,0.59,-6.28,0.0439,0.277,0.0868
Eidolon,0.553,-19.522,0.0304,0.862,0.0932
Electronic Memories (feat. Mickey Kojak),0.602,-1.62,0.0897,0.0992,0.241
Emotions in Motion,0.651,-10.906,0.0323,0.199,0.0781
Empty Street at Night,0.211,-22.964,0.0456,0.903,0.342
Enemy,0.572,-1.992,0.066,0.000181,0.118
Escaping Time,0.32,-17.98,0.0445,0.64,0.112
Essential Attitudes,0.444,-12.601,0.0383,0.449,0.081
Event Horizon,0.464,-8.052,0.0279,0.0665,0.114
Every Kinda People,0.631,-12.626,0.036,0.248,0.0523
Every Way,0.879,-4.422,0.126,0.019,0.309
Everybody Hurts,0.282,-6.524,0.0274,0.568,0.157
